monitor_id,Name,State,ICBC,IL,IN,MI,WI,MN,OH,MO,KY,TX-LA,Southeast,CenSARA,WRAP,Northeast,ChicagoMetroSuburbs,ChicagoExurbs,EastStLouisIL,NorthernIN,SoutheastWI,CentralCoastWI,DetroitMetroMI,BerrienMI,AlleganMI,MuskegonMI,CincinnatiOH,ClevelandOH,ComMarine,Biogenic,Other
100010002,KILLENS,Delaware,15.19,0.24,0.44,0.53,0.24,0.2,1.03,0.27,0.59,0.44,4.98,0.64,0.67,30.98,0.2,0.06,0.01,0.13,0.07,0.01,0.33,0,0.01,0,0.1,0.25,4.03,3.25,1.48
100031007,LUMS 2,Delaware,20.35,0.35,1.1,0.41,0.23,0.25,2.43,0.54,1.64,0.71,6.58,1.17,1.36,22.11,0.14,0.04,0.02,0.13,0.04,0.01,0.21,0,0,0,0.41,0.26,1.57,3.75,1.61
100031010,BCSP,Delaware,22.46,0.28,0.85,0.52,0.28,0.38,1.35,0.46,1.04,0.61,4.82,1,1.35,29.41,0.17,0.04,0.01,0.13,0.05,0.01,0.2,0,0,0,0.22,0.12,1.72,3.48,2.11
100031013,BELLFNT2,Delaware,21.42,0.29,0.84,0.51,0.31,0.39,1.46,0.46,1.03,0.63,4.94,1.04,1.4,27.66,0.18,0.05,0.01,0.14,0.06,0.01,0.27,0,0,0,0.23,0.17,1.61,3.53,1.85
100032004,MLK,Delaware,21.51,0.29,0.84,0.51,0.31,0.39,1.46,0.46,1.03,0.63,4.96,1.05,1.4,27.79,0.18,0.05,0.01,0.14,0.06,0.01,0.27,0,0,0,0.23,0.17,1.61,3.55,1.86
100051002,SEAFORD,Delaware,19.11,0.35,0.74,0.35,0.16,0.15,1.56,0.51,1.51,1.01,7.02,1.25,1.16,20.9,0.15,0.04,0.02,0.14,0.03,0,0.22,0,0,0,0.2,0.35,2.43,4.09,1.26
100051003,LEWES,Delaware,12.11,0.33,0.63,0.46,0.2,0.13,1.4,0.38,0.72,0.69,4.66,0.89,0.83,29.56,0.21,0.06,0.02,0.18,0.07,0.01,0.48,0.01,0.01,0,0.13,0.37,4.7,3.31,1.05
10030010,FAIRHOPE,Alabama,14.83,0.15,0.12,0,0.03,0.09,0,0.58,0.18,2.65,31.66,0.92,0.44,0,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,0,5.89,2.58,0.77
10331002,MSHOALS,Alabama,24.84,0.6,0.99,0.36,0.17,0.25,0.09,0.51,1.61,1.24,18.12,1.66,0.98,0.43,0.14,0.06,0.04,0.2,0.03,0,0.07,0.01,0.01,0,0.03,0.01,0.45,3.74,0.99
10499991,Crossville,Alabama,24.11,0.48,0.78,0.28,0.18,0.2,0.19,0.43,1.09,1.21,24.25,1.4,0.5,0.34,0.14,0.07,0.01,0.17,0.03,0,0.11,0.01,0,0,0.06,0.04,0.48,3.5,1.11
10550011,Southside,Alabama,22.18,0.25,0.41,0.19,0.07,0.09,0.11,0.3,0.52,2.29,26.76,1.59,0.74,0.26,0.05,0.02,0.01,0.1,0.01,0,0.07,0,0,0,0.03,0.02,0.47,2.98,0.84
10690004,DOTHAN,Alabama,23.61,0.27,0.55,0.2,0.09,0.13,0.25,0.48,0.85,1.14,19.33,1.34,1.05,0.35,0.05,0.02,0.02,0.06,0.01,0,0.08,0,0,0,0.1,0.02,0.53,3.86,1.39
10730023,NO. BHAM,Alabama,18.02,0.44,0.42,0.02,0.05,0.17,0.02,0.39,0.95,1.05,37.88,1.38,0.83,0,0.03,0.02,0.02,0.03,0,0,0,0,0,0,0.02,0,0.28,2.89,0.76
10731003,FAIRFIELD,Alabama,16.18,0.44,0.38,0.02,0.05,0.18,0.03,0.34,0.91,1.07,38.96,1.14,0.68,0,0.03,0.02,0.02,0.03,0,0,0,0,0,0,0.02,0,0.38,3.01,0.79
10731005,MCADORY,Alabama,16.18,0.44,0.38,0.02,0.05,0.18,0.03,0.34,0.91,1.07,38.44,1.14,0.67,0,0.03,0.02,0.02,0.03,0,0,0,0,0,0,0.02,0,0.37,3.01,0.78
10731010,LEEDS,Alabama,19.33,0.32,0.52,0.17,0.06,0.1,0.09,0.54,0.85,0.93,33.16,1.84,0.91,0.19,0.05,0.02,0.02,0.1,0.01,0,0.07,0,0,0,0.03,0.02,0.27,3.06,0.9
10732006,Hoover,Alabama,17.79,0.4,0.37,0.02,0.05,0.17,0.03,0.31,0.78,1.17,38.35,1.21,0.68,0,0.03,0.02,0.02,0.03,0,0,0,0,0,0,0.02,0,0.37,2.89,0.76
