monitor_id,Name,County,State,2016_avrg,2016_max,ICBC,Biogenic,Agriculture,Nonpt_Industrial,Nonpt_Other,Nonpt_NonCombustion,Nonpt_ Solvents,Nonpt_Waste,OilGas,Onroad_Diesel,Onroad_NonDiesel,CanadaMexico,Nonroad_Diesel,Nonroad_NonDiesel,Rail,Onroad_CA,CMV,Ag_Fires,Point_EGU,Wildfires,Point_NonEGU,Airports
100010002,KILLENS,Kent,Delaware,66.3,67,13.7,2.95,0.03,1.57,0.05,0.2,0.67,0.2,1.27,4.72,7.82,0.92,5.69,14.63,1.05,0.01,3.32,0,4.67,0.14,2.35,0.43
100031007,LUMS 2,New Castle,Delaware,68,69,20.69,3.18,0.02,2.34,0.06,0.4,1.73,0.29,1.51,6.84,10.24,1.34,4.26,2.37,1.26,0.04,1.62,0,5.46,0.23,2.92,0.62
100031010,BCSP,New Castle,Delaware,73.7,74,21.07,3.48,0.02,2.96,0.07,0.46,2.18,0.32,1.74,7.39,11.22,1.38,4.72,2.66,1.31,0.04,1.56,0,6.36,0.23,3.18,0.72
100031013,BELLFNT2,New Castle,Delaware,71,72,20.06,3.44,0.03,2.72,0.06,0.4,1.85,0.31,1.7,7.51,10.98,1.26,4.82,2.4,1.33,0.05,1.56,0,5.98,0.17,3.22,0.66
100032004,MLK,New Castle,Delaware,71.3,72,20.14,3.45,0.03,2.73,0.06,0.41,1.86,0.31,1.7,7.54,11.02,1.27,4.84,2.41,1.33,0.05,1.57,0,6.01,0.17,3.23,0.66
100051002,SEAFORD,Sussex,Delaware,65.3,66,18.05,3.83,0,1.64,0.05,0.07,0.29,0.25,1.96,6.72,10.03,0.82,4.81,2.34,1.28,0.05,2.28,0,6.62,0.25,2.69,0.69
100051003,LEWES,Sussex,Delaware,67.7,69,12.41,3.39,0.05,1.37,0.05,0.16,0.64,0.22,1.73,4.67,7.35,0.69,4.85,11.32,1.09,0.04,4.79,0,5.52,0.14,2.74,0.37
10030010,FAIRHOPE,Baldwin,Alabama,63.7,65,14.53,2.5,0,0.51,0.01,0.05,0.15,0.32,2.66,5.97,9.4,0.13,4,3.64,0.76,0,5.77,0,4.44,0.16,5.27,0.68
10331002,MSHOALS,Colbert,Alabama,58.7,59,22.9,3.42,0,1.12,0.03,0.03,0.17,0.25,1.87,5.7,9.01,0.39,2.83,0.93,1.42,0.02,0.44,0.01,3.33,0.36,3.11,0.3
10499991,Crossville,DeKalb,Alabama,62.3,63,22.63,3.39,0,1.05,0.02,0.04,0.14,0.23,1.75,7.2,10.25,0.34,3.16,0.95,1.54,0.02,0.43,0.02,3.77,0.54,3.26,0.42
10550011,Southside,Etowah,Alabama,61.7,63,24.17,2.53,0,0.86,0.02,0.04,0.17,0.28,2.32,6.14,8.89,0.39,2.85,0.8,1.31,0.05,0.42,0.01,4.08,0.47,4.26,0.3
10690004,DOTHAN,Houston,Alabama,58.3,59,22.64,3.8,0,0.73,0.02,0.02,0.06,0.22,1.56,5.27,8.33,0.56,2.72,0.7,1.07,0.06,0.46,0.03,3.42,0.52,2.76,0.84
10730023,NO. BHAM,Jefferson,Alabama,66.3,68,17.81,2.83,0.01,0.74,0.01,0.11,0.45,0.54,2.6,8.38,13.65,0.19,5.22,1.22,1.49,0.06,0.28,0.01,4.76,0.43,4.59,0.31
10731003,FAIRFIELD,Jefferson,Alabama,65.7,66,15.2,2.81,0.01,0.83,0.02,0.1,0.41,0.63,3,8.51,14.24,0.17,5.28,1.33,1.76,0.05,0.35,0,4.35,0.45,4.86,0.34
10731005,MCADORY,Jefferson,Alabama,65,65,15.04,2.78,0.01,0.82,0.02,0.1,0.41,0.62,2.98,8.41,14.22,0.17,5.22,1.31,1.74,0.05,0.35,0,4.31,0.44,4.81,0.34
10731010,LEEDS,Jefferson,Alabama,64.3,66,19.21,2.69,0,0.84,0.01,0.06,0.27,0.47,2.29,7.7,12.73,0.3,4.39,1.01,1.41,0.06,0.29,0.01,4.36,0.47,4.69,0.29
10732006,Hoover,Jefferson,Alabama,66,66,17.69,2.82,0.01,0.74,0.01,0.11,0.44,0.55,2.57,8.3,13.75,0.19,5.18,1.2,1.5,0.06,0.28,0.01,4.78,0.43,4.55,0.31
10735003,CORNER,Jefferson,Alabama,63.5,64,16.82,2.5,0.01,0.89,0.02,0.1,0.4,0.53,2.61,7.67,13.25,0.4,4.54,1.08,1.47,0.06,0.35,0,3.66,0.35,5.79,0.39
10736002,TARRANT,Jefferson,Alabama,67.7,68,17.42,2.91,0.01,0.77,0.01,0.11,0.44,0.57,2.56,8.6,14.34,0.24,5.33,1.23,1.57,0.07,0.3,0.01,4.81,0.48,4.89,0.37
10890014,Huntsville Old Airport,Madison,Alabama,64,64,19.81,4.83,0,1.09,0.02,0.07,0.26,0.31,1.94,7.71,13.04,0.5,4.2,0.99,1.49,0.09,0.37,0,3.69,0.5,2.66,0.38
10890022,Huntsville Capshaw,Madison,Alabama,62,62,19.49,4.19,0,1.11,0.02,0.06,0.2,0.29,1.94,7.35,13.16,0.54,3.86,0.95,1.46,0.1,0.4,0,3.6,0.48,2.88,0.44
10970003,CHICK.,Mobile,Alabama,63,64,15.13,2.22,0,0.69,0.03,0.06,0.18,0.41,2.39,5.88,11.6,0.14,3.78,2.54,0.89,0.01,4.51,0,4.28,0.28,5.25,0.83
