OBJECTID,AQS_Site_ID,FIPS,County,monitor_id,POC,State,City,CBSA,Local_Site_Name,Address,Datum,Latitude,Longitude,LatLon_Accuracy_meters,Elevation_meters_MSL,Monitor_Start_Date,Last_Sample_Date,Active,Measurement_Scale,Measurement_Scale_Definition,Sample_Duration,Sample_Collection_Frequency,Sample_Collection_Method,Sample_Analysis_Method,Method_Reference_ID,FRMFEM,Monitor_Type,Reporting_Agency,Parameter_Name
396,17-001-0007,17001,IL-Adams,170010007,1,Illinois,Quincy,"Quincy, IL-MO",JOHN WOOD COMMUNITY COLLEGE,1301 S. 48TH ST.,WGS84,39.91540937,-91.33586832,15,201,3/15/07,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
397,17-019-0007,17019,IL-Champaign,170190007,1,Illinois,Thomasboro,"Champaign-Urbana, IL",Thomasboro,NORTH THOMAS ST.,WGS84,40.244913,-88.188519,3,5,5/4/11,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
398,17-019-1001,17019,IL-Champaign,170191001,1,Illinois,Bondville,"Champaign-Urbana, IL",ISWS CLIMATE STATION,TWP RD 500 E.,WGS84,40.05278,-88.37251,5,213,4/1/11,8/31/24,Yes,REGIONAL SCALE,50 TO HUNDREDS KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET,EQOA-0880-047,Yes,EPA,USEPA - Clean Air Markets Division,Ozone
399,17-023-0001,17023,IL-Clark,170230001,1,Illinois,,,416 S. State St. Hwy 1- West Union,416 S. STATE ST. HWY 1/ WEST UNION,WGS84,39.21085658,-87.66829728,13,114.8,4/1/01,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Indiana Depart Of Environ Management/Office Of Air Quality,Ozone
400,17-031-0001,17031,IL-Cook,170310001,1,Illinois,Alsip,"Chicago-Naperville-Elgin, IL-IN-WI",VILLAGE GARAGE,4500 W. 123RD ST.,WGS84,41.6709919,-87.7324569,5,188,6/1/88,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
401,17-031-0032,17031,IL-Cook,170310032,1,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",SOUTH WATER FILTRATION PLANT,3300 E. CHELTENHAM PL.,WGS84,41.75583241,-87.54534967,10,178,4/1/87,9/30/24,Yes,NEIGHBORHOOD,500 M TO 4KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
402,17-031-0076,17031,IL-Cook,170310076,1,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",COM ED MAINTENANCE BLDG,7801 LAWNDALE,WGS84,41.75139998,-87.71348815,5,186,1/1/04,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
403,17-031-1003,17031,IL-Cook,170311003,2,Illinois,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",TAFT HS,6545 W. HURLBUT ST.,WGS84,41.98433233,-87.7920017,10,191,1/1/79,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
404,17-031-1601,17031,IL-Cook,170311601,1,Illinois,Lemont,"Chicago-Naperville-Elgin, IL-IN-WI",COOK COUNTY TRAILER,729 HOUSTON,WGS84,41.66812034,-87.99056969,5,226,1/1/83,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
405,17-031-3103,17031,IL-Cook,170313103,2,Illinois,Schiller Park,"Chicago-Naperville-Elgin, IL-IN-WI",IEPA TRAILER,4743 MANNHEIM RD.,WGS84,41.96519348,-87.87626473,10,195,4/1/13,9/30/24,Yes,NEIGHBORHOOD,500 M TO 4KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
406,17-031-4002,17031,IL-Cook,170314002,1,Illinois,Cicero,"Chicago-Naperville-Elgin, IL-IN-WI",COOK COUNTY TRAILER,1820 S. 51ST AVE.,WGS84,41.85524313,-87.7524697,10,184,1/1/83,9/30/24,Yes,NEIGHBORHOOD,500 M TO 4KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
407,17-031-4007,17031,IL-Cook,170314007,1,Illinois,Des Plaines,"Chicago-Naperville-Elgin, IL-IN-WI",REGIONAL OFFICE BUILDING,9511 W. HARRISON ST,WGS84,42.06028469,-87.86322543,20,192,1/1/02,9/30/24,Yes,URBAN SCALE,4 KM TO 50 KM,1 HOUR,,INSTRUMENTAL,ULTRA VIOLET ABSORPTION,EQOA-0992-087,Yes,SLAMS,Illinois Environmental Protection Agency,Ozone
