State,ST,Sector,EISSector,Pollutant,e2022,e2026,e2032,e2038
Alabama,AL,airports,Airports,CO,10012.3,10111.87,10186.57,10153.35
Alaska,AK,airports,Airports,CO,8886.77,9244.84,9551.35,9869.02
Arizona,AZ,airports,Airports,CO,12889.47,14293.46,14868.06,15398.79
Arkansas,AR,airports,Airports,CO,5962.05,6089.91,6245.87,6423.17
California,CA,airports,Airports,CO,36528.82,40113.02,42289.38,44408.74
Colorado,CO,airports,Airports,CO,11284.61,12614.31,13544.29,14498.16
Connecticut,CT,airports,Airports,CO,1792.01,2163.63,2201.66,2235.34
Delaware,DE,airports,Airports,CO,1334.05,2068.04,2092.98,2120.5
District of Columbia,DC,airports,Airports,CO,1.1,1.1,1.1,1.1
Florida,FL,airports,Airports,CO,31925.14,36256.42,38785.35,41404.89
Georgia,GA,airports,Airports,CO,11627.19,12555.1,13382.03,14408.35
Hawaii,HI,airports,Airports,CO,3920.11,4412.69,4675.42,4918.22
Idaho,ID,airports,Airports,CO,3568.68,3738.96,4105.26,4524.98
Illinois,IL,airports,Airports,CO,13095.03,14246.61,15387.75,16314.54
Indiana,IN,airports,Airports,CO,4846.59,5237.76,5509.64,5797.2
Iowa,IA,airports,Airports,CO,3061.08,3173.38,3205.27,3237.47
Kansas,KS,airports,Airports,CO,5953.01,6052.07,6088.98,6126.42
Kentucky,KY,airports,Airports,CO,4980.27,5640.69,6042.24,6434.19
Louisiana,LA,airports,Airports,CO,6189.38,6566.98,6727.02,6822.06
Maine,ME,airports,Airports,CO,1776.24,1805.49,1824.73,1844.22
Maryland,MD,airports,Airports,CO,3488.47,3845.04,3987.82,4134.7
Massachusetts,MA,airports,Airports,CO,6613.49,7168.73,7616.21,8001.33
Michigan,MI,airports,Airports,CO,7351.49,7923.46,8268.78,8558.82
Minnesota,MN,airports,Airports,CO,7061.25,7587.67,8023.67,8477.4
Mississippi,MS,airports,Airports,CO,8140.04,8290.82,8339.47,8389.3
Missouri,MO,airports,Airports,CO,5448.1,6030.98,6207.77,6398.09
Montana,MT,airports,Airports,CO,2686.08,2733.05,2793.71,2857.46
Nebraska,NE,airports,Airports,CO,2819.22,2880.92,2911.97,2944.19
Nevada,NV,airports,Airports,CO,5342.42,6086.21,6478.81,6885.74
New Hampshire,NH,airports,Airports,CO,1317.1,1319.62,1327.74,1335.75
New Jersey,NJ,airports,Airports,CO,7815.31,8653.32,9332.87,10021.61
New Mexico,NM,airports,Airports,CO,2451.77,2524.85,2599.23,2679.33
New York,NY,airports,Airports,CO,15284.58,16878.14,18154.28,19428.41
North Carolina,NC,airports,Airports,CO,11751.57,12681.52,13238.37,13842.34
North Dakota,ND,airports,Airports,CO,2719.32,2805.27,2885.36,2969.78
Ohio,OH,airports,Airports,CO,9254.35,10272.03,10573.19,10861.33
Oklahoma,OK,airports,Airports,CO,7004.59,7518.72,7597.79,7677.19
Oregon,OR,airports,Airports,CO,5254.3,5757.91,6238.83,6759.66
Pennsylvania,PA,airports,Airports,CO,8646.16,9357.27,9919.55,10501.97
Puerto Rico,PR,airports,Airports,CO,2218.24,2875.91,2953.67,3021.69
Rhode Island,RI,airports,Airports,CO,632.49,657.39,664.71,672.07
South Carolina,SC,airports,Airports,CO,4176.05,4445.26,4687.15,4940.5
South Dakota,SD,airports,Airports,CO,1441.21,1484.28,1525.18,1567.88
Tennessee,TN,airports,Airports,CO,8330.14,9411.73,10015.95,10678.99
Texas,TX,airports,Airports,CO,34087.78,37647.12,39781.23,41891.75
Tribal Data,TRIBAL ,airports,Airports,CO,228.83,274.84,293.53,303.53
Utah,UT,airports,Airports,CO,3687.41,4032.86,4317.03,4464.76
Vermont,VT,airports,Airports,CO,563.51,580.14,588.03,596.07
Virgin Islands,USVI,airports,Airports,CO,579.73,683.46,698.23,713.15
Virginia,VA,airports,Airports,CO,10186.6,11360.46,11798.62,12199.41
Washington,WA,airports,Airports,CO,10798.93,11319.68,12253.75,13250.46
West Virginia,WV,airports,Airports,CO,1220.56,1262.78,1289.73,1318.46
Wisconsin,WI,airports,Airports,CO,6326.52,6507.26,6635.57,6769.43
Wyoming,WY,airports,Airports,CO,965.94,980.61,998.73,1017.28
Alabama,AL,beis,Biogenic,CO,121520.9,121520.9,121520.9,121520.9
Arizona,AZ,beis,Biogenic,CO,64996.42,64996.42,64996.42,64996.42
Arkansas,AR,beis,Biogenic,CO,105070.86,105070.86,105070.86,105070.86
California,CA,beis,Biogenic,CO,208521.93,208521.93,208521.93,208521.93
Colorado,CO,beis,Biogenic,CO,60106.27,60106.27,60106.27,60106.27
Connecticut,CT,beis,Biogenic,CO,5237.82,5237.82,5237.82,5237.82
Delaware,DE,beis,Biogenic,CO,3119.25,3119.25,3119.25,3119.25
District of Columbia,DC,beis,Biogenic,CO,153.26,153.26,153.26,153.26
Florida,FL,beis,Biogenic,CO,138142.39,138142.39,138142.39,138142.39
Georgia,GA,beis,Biogenic,CO,143863.55,143863.55,143863.55,143863.55
Idaho,ID,beis,Biogenic,CO,66487.15,66487.15,66487.15,66487.15
Illinois,IL,beis,Biogenic,CO,67214.06,67214.06,67214.06,67214.06
Indiana,IN,beis,Biogenic,CO,45203.3,45203.3,45203.3,45203.3
Iowa,IA,beis,Biogenic,CO,52452.72,52452.72,52452.72,52452.72
Kansas,KS,beis,Biogenic,CO,81380.61,81380.61,81380.61,81380.61
Kentucky,KY,beis,Biogenic,CO,69259.94,69259.94,69259.94,69259.94
Louisiana,LA,beis,Biogenic,CO,101238.4,101238.4,101238.4,101238.4
Maine,ME,beis,Biogenic,CO,29897.76,29897.76,29897.76,29897.76
Maryland,MD,beis,Biogenic,CO,16422.77,16422.77,16422.77,16422.77
Massachusetts,MA,beis,Biogenic,CO,8865.04,8865.04,8865.04,8865.04
Michigan,MI,beis,Biogenic,CO,50837.26,50837.26,50837.26,50837.26
Minnesota,MN,beis,Biogenic,CO,55833.09,55833.09,55833.09,55833.09
Mississippi,MS,beis,Biogenic,CO,117522.99,117522.99,117522.99,117522.99
Missouri,MO,beis,Biogenic,CO,100605.96,100605.96,100605.96,100605.96
Montana,MT,beis,Biogenic,CO,78846.91,78846.91,78846.91,78846.91
Nebraska,NE,beis,Biogenic,CO,57706.52,57706.52,57706.52,57706.52
Nevada,NV,beis,Biogenic,CO,46388.35,46388.35,46388.35,46388.35
New Hampshire,NH,beis,Biogenic,CO,10317.05,10317.05,10317.05,10317.05
