UACE20,GEOID20,GEOIDFQ20,NAME20,NAMELSAD20,urban_mean,STATEFP,GEOID,STUSPS,NAME,rural_mean,urban_inc
77230,77230,400C200US77230,"St. Augustine, FL","St. Augustine, FL Urban Area",7.295228243,12,12,FL,Florida,6.210653346,1.085
85087,85087,400C200US85087,"Stockton, CA","Stockton, CA Urban Area",8.568391333,6,6,CA,California,5.820606312,2.748
60625,60625,400C200US60625,"Muncie, IN","Muncie, IN Urban Area",7.682585937,18,18,IN,Indiana,7.004757482,0.678
40375,40375,400C200US40375,"Houma, LA","Houma, LA Urban Area",8.148317404,22,22,LA,Louisiana,7.563901787,0.584
83332,83332,400C200US83332,"South Lyon--Hamburg--Genoa, MI","South Lyon--Hamburg--Genoa, MI Urban Area",7.888548231,26,26,MI,Michigan,5.145389178,2.743
83953,83953,400C200US83953,"Springfield, MO","Springfield, MO Urban Area",6.812423137,29,29,MO,Missouri,6.404036629,0.408
83116,83116,400C200US83116,"South Bend, IN--MI","South Bend, IN--MI Urban Area",7.577753756,18,18,IN,Indiana,7.004757482,0.573
49096,49096,400C200US49096,"Leominster--Fitchburg, MA","Leominster--Fitchburg, MA Urban Area",6.157283336,25,25,MA,Massachusetts,4.704029792,1.453
55981,55981,400C200US55981,"Medford, OR","Medford, OR Urban Area",7.623727843,41,41,OR,Oregon,5.347523912,2.276
97291,97291,400C200US97291,"Worcester, MA--CT","Worcester, MA--CT Urban Area",6.33418576,25,25,MA,Massachusetts,4.704029792,1.63
76204,76204,400C200US76204,"Rome, GA","Rome, GA Urban Area",7.880359845,13,13,GA,Georgia,6.739591666,1.141
64567,64567,400C200US64567,"Ocala, FL","Ocala, FL Urban Area",7.204351374,12,12,FL,Florida,6.210653346,0.994
4384,4384,400C200US04384,"Austin, TX","Austin, TX Urban Area",7.763327474,48,48,TX,Texas,6.463495491,1.3
92593,92593,400C200US92593,"Waterloo, IA","Waterloo, IA Urban Area",6.343871751,19,19,IA,Iowa,6.071900243,0.272
80362,80362,400C200US80362,"Seaside--Monterey--Pacific Grove, CA","Seaside--Monterey--Pacific Grove, CA Urban Area",5.81034016,6,6,CA,California,5.820606312,-0.01
42157,42157,400C200US42157,"Jackson, MI","Jackson, MI Urban Area",7.174777466,26,26,MI,Michigan,5.145389178,2.029
88084,88084,400C200US88084,"Topeka, KS","Topeka, KS Urban Area",6.893119106,20,20,KS,Kansas,5.826247591,1.067
64945,64945,400C200US64945,"Ogden--Layton, UT","Ogden--Layton, UT Urban Area",6.896380836,49,49,UT,Utah,4.422666341,2.474
34300,34300,400C200US34300,"Grand Rapids, MI","Grand Rapids, MI Urban Area",7.097979548,26,26,MI,Michigan,5.145389178,1.953
45910,45910,400C200US45910,"La Crosse, WI--MN","La Crosse, WI--MN Urban Area",6.323187069,55,55,WI,Wisconsin,5.252788515,1.07
78499,78499,400C200US78499,"Salt Lake City, UT","Salt Lake City, UT Urban Area",6.94377807,49,49,UT,Utah,4.422666341,2.521
32167,32167,400C200US32167,"Gainesville, FL","Gainesville, FL Urban Area",7.135511221,12,12,FL,Florida,6.210653346,0.925
58006,58006,400C200US58006,"Modesto, CA","Modesto, CA Urban Area",10.72310518,6,6,CA,California,5.820606312,4.902
25228,25228,400C200US25228,"Durham, NC","Durham, NC Urban Area",7.844195708,37,37,NC,North Carolina,5.974952781,1.869
29440,29440,400C200US29440,"Fayetteville, NC","Fayetteville, NC Urban Area",7.427597704,37,37,NC,North Carolina,5.974952781,1.453
73261,73261,400C200US73261,"Raleigh, NC","Raleigh, NC Urban Area",7.938019408,37,37,NC,North Carolina,5.974952781,1.963
,,,,,,,,,,,
42346,42346,400C200US42346,"Jacksonville, FL","Jacksonville, FL Urban Area",7.91216609,12,12,FL,Florida,6.210653346,1.702
43912,43912,400C200US43912,"Kansas City, MO--KS","Kansas City, MO--KS Urban Area",7.540756035,29,29,MO,Missouri,6.404036629,1.137
60841,60841,400C200US60841,"Muskegon--Norton Shores, MI","Muskegon--Norton Shores, MI Urban Area",6.300484453,26,26,MI,Michigan,5.145389178,1.155
57628,57628,400C200US57628,"Minneapolis--St. Paul, MN","Minneapolis--St. Paul, MN Urban Area",7.026642378,27,27,MN,Minnesota,4.883898514,2.143
96670,96670,400C200US96670,"Winston-Salem, NC","Winston-Salem, NC Urban Area",7.230652652,37,37,NC,North Carolina,5.974952781,1.256
43399,43399,400C200US43399,"Joplin, MO","Joplin, MO Urban Area",7.171139454,29,29,MO,Missouri,6.404036629,0.767
76474,76474,400C200US76474,"Round Lake Beach--McHenry--Grayslake, IL--WI","Round Lake Beach--McHenry--Grayslake, IL--WI Urban Area",7.817951014,17,17,IL,Illinois,6.723665264,1.094
80227,80227,400C200US80227,"Scranton, PA","Scranton, PA Urban Area",6.668646768,42,42,PA,Pennsylvania,5.941080114,0.728
22069,22069,400C200US22069,"Dalton, GA","Dalton, GA Urban Area",7.64263404,13,13,GA,Georgia,6.739591666,0.903
15832,15832,400C200US15832,"Chattanooga, TN--GA","Chattanooga, TN--GA Urban Area",7.624525028,47,47,TN,Tennessee,6.198586557,1.426
89974,89974,400C200US89974,"Valdosta, GA","Valdosta, GA Urban Area",7.788795139,13,13,GA,Georgia,6.739591666,1.049
2386,2386,400C200US02386,"Anderson, IN","Anderson, IN Urban Area",7.858887022,18,18,IN,Indiana,7.004757482,0.854
29872,29872,400C200US29872,"Flint, MI","Flint, MI Urban Area",7.69734864,26,26,MI,Michigan,5.145389178,2.552
5680,5680,400C200US05680,"Baton Rouge, LA","Baton Rouge, LA Urban Area",8.861708071,22,22,LA,Louisiana,7.563901787,1.298
77338,77338,400C200US77338,"St. Cloud, MN","St. Cloud, MN Urban Area",5.749099648,27,27,MN,Minnesota,4.883898514,0.865
38647,38647,400C200US38647,"Hickory, NC","Hickory, NC Urban Area",6.867009784,37,37,NC,North Carolina,5.974952781,0.892
5167,5167,400C200US05167,"Barnstable Town, MA","Barnstable Town, MA Urban Area",5.44366097,25,25,MA,Massachusetts,4.704029792,0.74
71263,71263,400C200US71263,"Portland, ME","Portland, ME Urban Area",5.572770957,23,23,ME,Maine,4.088174695,1.485
71506,71506,400C200US71506,"Portsmouth, NH--ME","Portsmouth, NH--ME Urban Area",5.82139268,33,33,NH,New Hampshire,4.595013387,1.226
97831,97831,400C200US97831,"Youngstown, OH","Youngstown, OH Urban Area",7.532906905,39,39,OH,Ohio,6.486223112,1.047
23824,23824,400C200US23824,"Detroit, MI","Detroit, MI Urban Area",8.590711974,26,26,MI,Michigan,5.145389178,3.445
2602,2602,400C200US02602,"Ann Arbor, MI","Ann Arbor, MI Urban Area",8.142900364,26,26,MI,Michigan,5.145389178,2.998
31087,31087,400C200US31087,"Fort Wayne, IN","Fort Wayne, IN Urban Area",7.94230449,18,18,IN,Indiana,7.004757482,0.938
71155,71155,400C200US71155,"Port Huron, MI","Port Huron, MI Urban Area",7.312396689,26,26,MI,Michigan,5.145389178,2.167
9271,9271,400C200US09271,"Boston, MA--NH","Boston, MA--NH Urban Area",6.500938895,25,25,MA,Massachusetts,4.704029792,1.797
82252,82252,400C200US82252,"Sioux Falls, SD","Sioux Falls, SD Urban Area",5.645885863,46,46,SD,South Dakota,4.777477462,0.868
4222,4222,400C200US04222,"Augusta-Richmond County, GA--SC","Augusta-Richmond County, GA--SC Urban Area",7.788611404,13,13,GA,Georgia,6.739591666,1.049
1495,1495,400C200US01495,"Allentown--Bethlehem, PA--NJ","Allentown--Bethlehem, PA--NJ Urban Area",8.029017402,42,42,PA,Pennsylvania,5.941080114,2.088
90730,90730,400C200US90730,"Vineland, NJ","Vineland, NJ Urban Area",6.472712526,34,34,NJ,New Jersey,4.809394989,1.663
63217,63217,400C200US63217,"New York--Jersey City--Newark, NY--NJ","New York--Jersey City--Newark, NY--NJ Urban Area",7.147848555,34,34,NJ,New Jersey,4.809394989,2.338
87787,87787,400C200US87787,"Titusville, FL","Titusville, FL Urban Area",7.089791047,12,12,FL,Florida,6.210653346,0.879
77149,77149,400C200US77149,"Saginaw, MI","Saginaw, MI Urban Area",6.909038171,26,26,MI,Michigan,5.145389178,1.764
5869,5869,400C200US05869,"Bay City, MI","Bay City, MI Urban Area",6.752069492,26,26,MI,Michigan,5.145389178,1.607
47530,47530,400C200US47530,"Lancaster--Manheim, PA","Lancaster--Manheim, PA Urban Area",8.486574694,42,42,PA,Pennsylvania,5.941080114,2.545
73693,73693,400C200US73693,"Reading, PA","Reading, PA Urban Area",8.348615333,42,42,PA,Pennsylvania,5.941080114,2.408
43210,43210,400C200US43210,"Johnson City, TN","Johnson City, TN Urban Area",6.271663335,47,47,TN,Tennessee,6.198586557,0.073
35461,35461,400C200US35461,"Greenville, SC","Greenville, SC Urban Area",7.459645341,45,45,SC,South Carolina,6.590711332,0.869
73396,73396,400C200US73396,"Rapid City, SD","Rapid City, SD Urban Area",4.928413109,46,46,SD,South Dakota,4.777477462,0.151
